============================================================================================
    Date     Time  Temp SpCond  Cond    pH      pH Turbid+   Chl   Chl ODOsat    ODO Battery
   m/d/y hh:mm:ss     C  uS/cm mS/cm            mV     NTU  ug/L   RFU      %   mg/L   volts
--------------------------------------------------------------------------------------------
08/19/12 00:31:11 20.46    242 0.221  8.17  -115.0     0.1   0.3   0.1   92.1   8.29    11.3
08/19/12 01:01:12 20.47    245 0.223  8.20  -116.5     4.1   0.2   0.1   92.4   8.31    11.3
08/19/12 01:31:12 20.51    245 0.224  8.19  -116.2     0.1   0.3   0.1   93.0   8.37    11.3
08/19/12 02:01:11 20.55    243 0.223  8.19  -116.0     0.1   1.4   0.4   93.2   8.37    11.3
08/19/12 02:31:11 20.58    245 0.225  8.18  -115.5     0.0   1.1   0.3   92.5   8.31    11.3
08/19/12 03:01:12 20.61    246 0.225  8.16  -114.3     0.1   0.6   0.2   92.4   8.30    11.3
08/19/12 03:31:12 20.60    249 0.229  8.11  -111.3     0.0   0.7   0.2   91.9   8.25    11.3
08/19/12 04:01:12 20.60    248 0.227  8.10  -110.3     0.0   0.1   0.0   91.8   8.24    11.3
08/19/12 04:31:11 20.62    247 0.226  8.13  -112.6     0.0   0.4   0.1   90.6   8.13    11.3
08/19/12 05:01:12 20.72    247 0.227  8.12  -112.1     0.0   1.7   0.5   91.0   8.16    11.3
08/19/12 05:31:11 20.84    250 0.230  8.20  -116.6     0.1   0.4   0.1   96.1   8.59    11.3
08/19/12 06:01:11 20.86    251 0.231  8.17  -115.1    -0.2  -0.1   0.0   93.9   8.38    11.3
08/19/12 06:31:12 20.88    251 0.231  8.20  -116.7    -0.4   0.0   0.0   94.5   8.44    11.3
08/19/12 07:01:12 20.89    251 0.231  8.22  -117.6    -0.4   0.5   0.2   94.8   8.46    11.3
08/19/12 07:31:12 20.90    251 0.231  8.20  -116.6    29.3  -0.2  -0.1   95.5   8.52    11.3
08/19/12 08:01:12 20.91    251 0.231  8.21  -117.6    -0.4   1.7   0.5   96.9   8.65    11.2
08/19/12 08:31:12 20.88    250 0.230  8.19  -116.1    -0.3   1.4   0.4   97.2   8.68    11.3
08/19/12 09:01:11 20.89    250 0.231  8.23  -118.5    -0.5   8.5   2.5   98.7   8.81    11.3
08/19/12 09:31:12 20.87    249 0.229  8.25  -119.6    -0.4   8.3   2.4   99.6   8.89    11.3
08/19/12 10:01:11 20.86    248 0.228  8.28  -121.8    -0.3   0.3   0.1  100.6   8.99    11.4
08/19/12 10:31:12 20.88    247 0.228  8.32  -123.9     0.0  43.7  12.9  102.1   9.12    11.3
08/19/12 11:01:11 20.88    247 0.227  8.36  -126.2    -0.2  19.9   5.9  103.3   9.23    11.3
08/19/12 11:31:11 20.88    246 0.227  8.38  -127.5    -0.3   4.1   1.2  103.7   9.26    11.3
08/19/12 12:01:11 20.90    246 0.227  8.37  -126.9     3.0   7.5   2.2  103.4   9.23    11.3
08/19/12 12:31:11 20.93    246 0.227  8.35  -125.7     1.0   4.3   1.3  102.3   9.12    11.3
08/19/12 13:01:11 20.97    247 0.228  8.38  -127.4     1.1   0.4   0.1  102.6   9.15    11.3
08/19/12 13:31:12 21.00    247 0.228  8.33  -124.8     0.6   7.4   2.2  102.2   9.11    11.3
08/19/12 14:01:12 21.02    246 0.228  8.34  -125.1     1.4   0.9   0.3  103.0   9.17    11.3
08/19/12 14:31:12 21.09    246 0.228  8.46  -132.1     2.0   1.3   0.4  105.6   9.39    11.3
08/19/12 15:01:12 21.07    249 0.231  8.38  -127.4     5.8   2.1   0.6  104.4   9.29    11.3
08/19/12 15:31:11 21.04    251 0.232  8.35  -125.9     5.7   2.7   0.8  103.5   9.22    11.3
08/19/12 16:01:12 21.01    251 0.232  8.34  -125.4    25.0  17.6   5.2  102.8   9.16    11.3
08/19/12 16:31:12 21.00    254 0.235  8.34  -125.3    13.7   3.6   1.1  102.8   9.16    11.3
08/19/12 17:01:12 21.00    255 0.236  8.35  -126.0     1.4   6.6   1.9  103.5   9.22    11.3
08/19/12 17:31:12 20.98    251 0.232  8.35  -125.8    14.5  10.3   3.1  103.8   9.25    11.2
08/19/12 18:01:12 20.95    252 0.232  8.32  -123.8    23.7   7.9   2.3  101.5   9.05    11.3
08/19/12 18:31:12 20.92    250 0.230  8.32  -123.8   354.6   4.4   1.3  100.9   9.00    11.3
08/19/12 19:01:11 20.90    247 0.228  8.30  -122.7     5.6  10.5   3.1  100.1   8.93    11.2
08/19/12 19:31:11 20.89    248 0.228  8.29  -122.1     5.0  14.1   4.1   99.8   8.91    11.3
08/19/12 20:01:11 20.89    249 0.229  8.27  -121.0     5.9   6.5   1.9   98.7   8.82    11.3
08/19/12 20:31:12 20.88    249 0.229  8.26  -120.5     5.4   3.8   1.1   97.6   8.71    11.3
08/19/12 21:01:12 20.88    248 0.229  8.25  -119.9     5.1   1.3   0.4   96.0   8.57    11.3
08/19/12 21:31:12 20.88    248 0.228  8.24  -119.3     3.6   1.4   0.4   96.4   8.61    11.3
08/19/12 22:01:12 20.88    247 0.228  8.24  -118.8     3.6   1.2   0.4   95.8   8.56    11.2
08/19/12 22:31:12 20.87    248 0.229  8.20  -116.6     2.3  12.8   3.8   95.1   8.50    11.3
08/19/12 23:01:12 20.89    245 0.226  8.21  -117.2     2.7  15.7   4.6   97.6   8.72    11.3
08/19/12 23:31:11 20.92    245 0.226  8.21  -117.5     2.1  27.7   8.2   94.4   8.42    11.3
08/20/12 00:01:12 20.96    245 0.227  8.20  -116.9     4.2  25.8   7.6   97.4   8.69    11.3
08/20/12 00:31:12 21.01    245 0.227  8.23  -118.5     1.0   9.2   2.7   98.6   8.78    11.3
08/20/12 01:01:12 21.05    244 0.226  8.25  -120.0     5.4   4.0   1.2   99.0   8.81    11.3
08/20/12 01:31:12 21.04    244 0.226  8.26  -120.1     0.0   3.0   0.9   97.9   8.72    11.3
08/20/12 02:01:12 21.04    244 0.225  8.25  -119.9    -0.3   7.7   2.3   97.7   8.70    11.3
08/20/12 02:31:12 21.04    243 0.225  8.26  -120.4    -0.3   3.5   1.1   98.5   8.77    11.3
08/20/12 03:01:11 21.04    243 0.225  8.26  -120.3     0.0  25.5   7.5   98.1   8.73    11.3
08/20/12 03:31:12 21.05    243 0.225  8.24  -119.2    -0.4  19.4   5.7   98.3   8.75    11.3
08/20/12 04:01:11 21.05    243 0.225  8.24  -119.1    -0.4  12.4   3.6   97.1   8.64    11.3
08/20/12 04:31:11 21.05    243 0.225  8.24  -118.9    -0.2   2.8   0.8   97.4   8.67    11.3
08/20/12 05:01:12 21.05    243 0.225  8.24  -119.0    -0.3  10.8   3.2   96.7   8.61    11.3
08/20/12 05:31:12 21.05    244 0.225  8.24  -119.1    -0.2   3.1   0.9   96.8   8.62    11.3
08/20/12 06:01:12 21.05    243 0.225  8.24  -119.0     0.0   2.4   0.7   96.3   8.57    11.3
08/20/12 06:31:12 21.04    244 0.225  8.24  -119.0    -0.2   3.7   1.1   95.6   8.51    11.3
08/20/12 07:01:12 21.04    244 0.225  8.24  -118.9     2.1  11.8   3.5   95.4   8.49    11.3
08/20/12 07:31:14 21.04    243 0.225  8.25  -120.1    -0.4  11.2   3.3   96.2   8.57    11.3
08/20/12 08:01:12 21.04    243 0.225  8.27  -121.2    -0.1   6.6   2.0   97.7   8.70    11.3
08/20/12 08:31:12 21.02    243 0.224  8.29  -122.3    -0.2  12.6   3.7   98.4   8.77    11.3
08/20/12 09:01:12 20.99    242 0.224  8.33  -124.4    -0.3   1.1   0.3  100.3   8.94    11.3
08/20/12 09:31:11 20.98    242 0.223  8.37  -127.0    -0.4   0.4   0.1  102.9   9.17    11.3
08/20/12 10:01:12 20.97    242 0.223  8.39  -128.2    -0.3   1.3   0.4  103.5   9.22    11.3
08/20/12 10:31:13 20.97    242 0.223  8.40  -128.8     0.0   2.9   0.9  102.6   9.15    11.3
08/20/12 11:01:12 20.98    242 0.223  8.43  -130.3     0.1   8.4   2.5  103.3   9.21    11.3
08/20/12 11:31:12 20.99    241 0.223  8.47  -132.8    -0.2   0.1   0.0  105.4   9.39    11.2
08/20/12 12:01:12 21.01    241 0.223  8.50  -134.8    -0.4   7.0   2.1  105.2   9.37    11.3
08/20/12 12:31:12 21.03    241 0.223  8.52  -135.8     0.0   2.3   0.7  106.1   9.45    11.3
08/20/12 13:01:11 21.06    241 0.222  8.56  -138.4    -0.3  15.2   4.5  109.5   9.74    11.3
08/20/12 13:31:12 21.04    240 0.222  8.54  -137.2     0.1   7.8   2.3  110.2   9.81    11.2
08/20/12 14:01:12 21.04    240 0.222  8.47  -133.2     0.0   1.3   0.4  109.1   9.72    11.3
08/20/12 14:31:12 21.12    241 0.223  8.55  -137.5     1.1   1.3   0.4  108.1   9.60    11.3
08/20/12 15:01:12 21.23    241 0.224  8.49  -134.2     0.4   3.5   1.0  107.9   9.57    11.3
08/20/12 15:31:11 21.18    242 0.224  8.46  -132.5     0.8   2.0   0.6  108.5   9.63    11.2
08/20/12 16:01:12 21.13    240 0.223  8.44  -131.5     1.7   1.1   0.4  110.1   9.78    11.3
08/20/12 16:31:12 21.13    242 0.224  8.45  -131.9    -0.2   3.0   0.9  110.8   9.85    11.3
08/20/12 17:01:12 21.15    241 0.223  8.47  -133.2    -0.3   2.4   0.7  112.5   9.99    11.2
08/20/12 17:31:11 21.13    243 0.225  8.46  -132.2    -0.3   2.3   0.7  111.5   9.91    11.2
08/20/12 18:01:12 21.12    243 0.225  8.45  -132.0    -0.1   3.9   1.2  111.5   9.91    11.3
08/20/12 18:31:11 21.11    243 0.225  8.42  -130.1     0.4   7.5   2.2  110.5   9.82    11.3
08/20/12 19:01:12 21.11    243 0.225  8.42  -129.8    -0.3   2.4   0.7  109.8   9.76    11.3
08/20/12 19:31:12 21.12    243 0.225  8.40  -128.7     0.0   2.5   0.7  108.0   9.60    11.3
08/20/12 20:01:11 21.11    245 0.227  8.38  -127.9    -0.1   7.8   2.3  107.3   9.54    11.3
08/20/12 20:31:11 21.10    246 0.227  8.40  -128.6    -0.3   2.7   0.8  107.2   9.53    11.2
08/20/12 21:01:11 21.10    246 0.227  8.38  -127.5    -0.4   2.3   0.7  106.8   9.50    11.3
08/20/12 21:31:11 21.09    247 0.228  8.37  -127.2    -0.4   0.7   0.2  107.1   9.53    11.2
08/20/12 22:01:11 21.08    243 0.225  8.35  -125.7     2.3   0.3   0.1  105.1   9.34    11.2
08/20/12 22:31:11 21.08    243 0.225  8.35  -125.6     2.4   9.0   2.6  104.8   9.32    11.3
08/20/12 23:01:18 21.07    245 0.226  8.34  -124.9     2.3   2.3   0.7  104.1   9.27    11.3
08/20/12 23:31:11 21.07    245 0.227  8.33  -124.8   106.7   4.3   1.3  104.3   9.28    11.3
08/21/12 00:01:11 21.07    246 0.228  8.33  -124.6    -0.2  45.6  13.4  104.3   9.28    11.3
08/21/12 00:31:12 21.06    249 0.230  8.33  -124.5     6.4   2.6   0.8  103.8   9.23    11.3
08/21/12 01:01:12 21.06    250 0.231  8.30  -123.0     0.2   2.7   0.8  102.4   9.11    11.3
08/21/12 01:31:12 21.06    248 0.229  8.28  -121.8    -0.4   6.6   2.0  103.5   9.21    11.2
08/21/12 02:01:12 21.06    251 0.232  8.28  -121.4    -0.1  14.7   4.3  102.3   9.11    11.3
08/21/12 02:31:11 21.07    250 0.231  8.31  -123.3    13.0   1.2   0.4  103.0   9.16    11.3
08/21/12 03:01:11 21.07    251 0.232  8.27  -120.7     1.4  11.5   3.4  102.5   9.12    11.3
08/21/12 03:31:11 21.07    249 0.230  8.27  -121.2    10.5   1.5   0.5  102.8   9.14    11.4
08/21/12 04:01:12 21.07    251 0.232  8.25  -120.0     1.7   3.4   1.0  101.1   8.99    11.2
08/21/12 04:31:12 21.06    252 0.233  8.25  -120.0     7.0   2.6   0.8  100.3   8.93    11.3
08/21/12 05:01:12 21.04    250 0.231  8.24  -119.4    23.6   1.5   0.5  100.0   8.91    11.2
08/21/12 05:31:12 21.03    249 0.230  8.21  -117.1    14.5   1.9   0.6   99.2   8.83    11.3
08/21/12 06:01:12 21.01    248 0.229  8.15  -114.0    24.2   1.3   0.4   98.3   8.76    11.2
08/21/12 06:31:12 21.01    250 0.231  8.16  -114.1    -0.2   2.4   0.7   96.9   8.64    11.3
08/21/12 07:01:12 21.02    248 0.229  8.20  -116.5    -0.5   2.4   0.7   98.0   8.73    11.3
08/21/12 07:31:11 21.03    248 0.229  8.14  -112.9    -0.4   2.8   0.9   97.5   8.68    11.3
08/21/12 08:01:12 21.05    249 0.230  8.27  -120.7    -0.5   9.6   2.8  102.1   9.09    11.3
08/21/12 08:31:11 21.06    251 0.232  8.30  -122.9    -0.4   6.9   2.0  102.7   9.14    11.3
08/21/12 09:01:12 21.06    250 0.231  8.30  -123.0    -0.1   7.7   2.3  102.4   9.12    11.3
08/21/12 09:31:12 21.06    248 0.229  8.35  -125.9    -0.3   2.6   0.8  103.0   9.16    11.3
08/21/12 10:01:11 21.08    247 0.228  8.38  -127.6    -0.4 175.2  51.5  103.6   9.22    11.3
08/21/12 10:31:06 21.09    246 0.228  8.42  -129.7    -0.5 362.8 106.6  104.6   9.30    11.3
08/21/12 11:01:08 21.08    245 0.226  8.41  -129.3     0.1   2.5   0.7  107.7   9.58    11.2
08/21/12 11:31:12 21.03    243 0.224  8.42  -130.2    -0.2  28.0   8.2  108.5   9.66    11.3
08/21/12 12:01:12 21.06    242 0.224  8.46  -132.3     0.0  35.9  10.6  110.0   9.79    11.2
08/21/12 12:31:11 21.10    242 0.224  8.56  -138.4     1.2  89.6  26.3  111.9   9.95    11.2
08/21/12 13:01:11 21.10    242 0.224  8.58  -139.3    -0.4   3.1   0.9  112.4   9.99    11.2
08/21/12 13:31:12 21.12    242 0.224  8.58  -139.6    -0.4  35.6  10.5  112.1   9.97    11.3
08/21/12 14:01:12 21.15    242 0.224  8.61  -141.7    -0.4  43.2  12.7  112.4   9.99    11.3
08/21/12 14:31:11 21.17    243 0.225  8.60  -141.0    -0.4  11.5   3.4  112.7  10.00    11.3
08/21/12 15:01:12 21.18    244 0.226  8.60  -140.8    -0.5   5.7   1.7  111.2   9.88    11.3
08/21/12 15:31:11 21.17    243 0.225  8.57  -139.1     0.4   8.2   2.4  112.1   9.95    11.3
08/21/12 16:01:12 21.17    243 0.225  8.54  -137.0    -0.4  11.9   3.5  112.9  10.02    11.3
08/21/12 16:31:12 21.17    242 0.225  8.52  -135.8    -0.2   9.7   2.9  114.3  10.15    11.3
08/21/12 17:01:12 21.13    243 0.225  8.46  -132.4    -0.1  27.2   8.0  110.8   9.85    11.3
08/21/12 17:31:11 21.11    243 0.225  8.42  -129.8     7.8   7.9   2.3  108.4   9.64    11.3
08/21/12 18:01:12 21.11    248 0.230  8.39  -128.0     0.7   3.8   1.1  107.8   9.58    11.3
08/21/12 18:31:12 21.09    248 0.229  8.35  -125.5     0.6   8.8   2.6  106.2   9.44    11.3
08/21/12 19:01:11 21.08    244 0.226  8.35  -125.6     0.0   1.9   0.6  105.6   9.39    11.2
08/21/12 19:31:12 21.07    245 0.226  8.32  -124.1     0.1   0.1   0.0  105.2   9.36    11.3
08/21/12 20:01:12 21.07    245 0.227  8.31  -123.5    -0.2   1.8   0.5  104.6   9.31    11.2
08/21/12 20:31:11 21.07    246 0.227  8.29  -122.3    -0.2   3.7   1.1  103.5   9.21    11.2
08/21/12 21:01:11 21.08    246 0.227  8.28  -121.7    -0.2   0.5   0.2  103.0   9.16    11.2
08/21/12 21:31:12 21.10    247 0.228  8.22  -118.2     0.4   0.9   0.3  100.4   8.93    11.2
08/21/12 22:01:12 21.10    249 0.230  8.21  -117.2    18.2   1.1   0.3   98.9   8.79    11.3
08/21/12 22:31:06 21.12    250 0.231  8.22  -118.0     0.0  69.5  20.4   99.1   8.81    11.3
08/21/12 23:01:10 21.04    250 0.231  8.27  -120.7     4.2   1.5   0.5  101.5   9.03    11.3
08/21/12 23:31:11 20.95    252 0.232  8.21  -117.5     7.1  10.8   3.2   99.1   8.84    11.2
08/22/12 00:01:12 20.89    251 0.231  8.20  -116.6     3.4   1.5   0.4   95.5   8.53    11.3
08/22/12 00:31:12 20.79    249 0.229  8.18  -115.2     2.1   1.6   0.5   92.6   8.29    11.3
08/22/12 01:01:11 20.66    246 0.225  8.18  -115.2     3.9   1.4   0.4   91.8   8.24    11.3
08/22/12 01:31:12 20.55    249 0.227  8.14  -113.2     0.7  17.5   5.2   90.1   8.10    11.3
08/22/12 02:01:12 20.34    249 0.227  8.12  -111.7     0.4   1.9   0.6   89.0   8.03    11.3
08/22/12 02:31:11 20.15    251 0.227  8.08  -109.4     2.7   3.7   1.1   87.8   7.95    11.3
08/22/12 03:01:11 20.07    249 0.226  8.06  -108.0     2.9   9.7   2.9   87.0   7.90    11.3
08/22/12 03:31:11 19.92    250 0.225  8.03  -106.4     6.5   3.3   1.0   86.5   7.88    11.3
08/22/12 04:01:11 19.93    249 0.225  8.03  -106.3     4.6  11.9   3.5   84.7   7.71    11.2
08/22/12 04:31:11 20.07    248 0.225  8.01  -105.0     3.1   8.6   2.5   83.4   7.57    11.3
08/22/12 05:01:11 19.85    250 0.226  7.98  -103.5     2.2   4.6   1.4   82.3   7.50    11.2
08/22/12 05:31:12 19.83    251 0.227  7.95  -101.7     0.5  23.0   6.8   81.9   7.47    11.3
08/22/12 06:01:11 19.81    247 0.222  7.96  -102.1     2.9  20.2   6.0   81.5   7.43    11.1
08/22/12 06:31:12 20.23    245 0.223  7.97  -102.9     4.5  17.3   5.1   82.4   7.45    11.2
08/22/12 07:01:12 20.49    245 0.224  8.03  -106.1     3.0  51.9  15.3   87.0   7.83    11.2
08/22/12 07:31:12 20.58    244 0.224  8.07  -108.8     2.5  14.0   4.1   88.2   7.93    11.2
08/22/12 08:01:12 20.63    245 0.224  8.10  -110.3     5.9  22.4   6.6   89.5   8.03    11.3
08/22/12 08:31:12 20.68    244 0.224  8.14  -112.9     0.2   7.1   2.1   91.6   8.21    11.3
08/22/12 09:01:11 20.72    245 0.225  8.19  -115.9    55.0   7.5   2.2   92.9   8.32    11.2
08/22/12 09:31:12 20.74    246 0.226  8.23  -118.4     0.8  31.8   9.3   94.8   8.49    11.2
08/22/12 10:01:11 20.38    247 0.225  8.16  -114.2    -0.2  29.2   8.6   90.2   8.14    11.3
08/22/12 10:31:11 20.29    244 0.222  8.22  -117.5     0.6  35.3  10.4   91.2   8.24    11.3
08/22/12 11:01:11 20.40    244 0.223  8.31  -123.2    -0.5  11.0   3.2   96.4   8.69    11.3
08/22/12 11:31:11 20.58    244 0.223  8.40  -128.5    -0.5  10.7   3.2   99.9   8.97    11.3
08/22/12 12:01:12 20.67    243 0.223  8.36  -126.0     0.2  30.0   8.8  100.9   9.05    11.2
08/22/12 12:31:11 20.70    246 0.226  8.39  -128.1     0.2   8.0   2.4   96.0   8.61    11.2
08/22/12 13:01:11 20.77    249 0.229  8.41  -129.3     0.4  15.1   4.4   94.3   8.44    11.2
08/22/12 13:31:11 20.84    245 0.226  8.39  -127.9    -0.2  10.0   3.0   99.1   8.86    11.3
08/22/12 14:01:11 20.89    245 0.225  8.33  -124.6     1.0   6.8   2.0  100.3   8.95    11.3
08/22/12 14:31:11 20.81    245 0.225  8.34  -125.1     0.1   1.0   0.3  100.2   8.96    11.2
08/22/12 15:01:12 20.81    245 0.225  8.31  -123.5     0.9   2.4   0.7   99.1   8.87    11.3
08/22/12 15:31:11 20.81    244 0.225  8.33  -124.3    -0.1   2.3   0.7  100.2   8.96    11.2
08/22/12 16:01:12 20.91    244 0.225  8.33  -124.3     1.2   7.9   2.3  101.5   9.06    11.2
08/22/12 16:31:12 21.05    245 0.226  8.35  -125.9    29.9   6.8   2.0  103.6   9.22    11.3
08/22/12 17:01:12 20.97    245 0.226  8.37  -126.9     0.4   6.9   2.0  106.0   9.45    11.2
08/22/12 17:31:11 20.94    251 0.232  8.35  -125.9     0.1  29.3   8.6  104.8   9.35    11.3
08/22/12 18:01:12 20.66    250 0.230  8.29  -122.1     0.1  19.3   5.7   99.4   8.92    11.3
08/22/12 18:31:12 19.85    243 0.219  8.24  -119.0     1.1  11.1   3.3   98.4   8.97    11.2
08/22/12 19:01:12 18.34    250 0.218  8.12  -111.3    85.7   3.6   1.1   93.0   8.73    11.2
08/22/12 19:31:11 17.46    247 0.212  8.06  -107.7     3.1   8.0   2.4   91.9   8.80    11.3
08/22/12 20:01:12 16.42    245 0.205  8.14  -112.1     0.3   5.4   1.6  102.1   9.98    11.2
08/22/12 20:31:13 15.81    243 0.200  8.10  -109.7     0.6   4.5   1.3  100.3   9.93    11.2
08/22/12 21:01:12 15.49    244 0.199  8.07  -107.4     0.1  17.1   5.0   98.1   9.78    11.2
08/22/12 21:31:11 15.28    244 0.198  8.05  -106.5     0.3   3.8   1.1   97.5   9.76    11.2
08/22/12 22:01:11 15.12    247 0.200  8.05  -106.1     0.2  10.0   2.9   97.7   9.82    11.2
08/22/12 22:31:12 15.05    247 0.200  8.04  -105.5     0.0   1.2   0.4   97.0   9.77    11.2
08/22/12 23:01:12 15.10    243 0.197  8.03  -105.0     0.0   1.7   0.5   96.5   9.70    11.1
08/22/12 23:31:12 14.81    245 0.197  8.02  -104.6     0.0   4.1   1.2   97.2   9.84    11.2
08/23/12 00:01:12 14.55    245 0.196  8.01  -103.8     0.0   6.6   2.0   97.3   9.90    11.2
08/23/12 00:31:12 14.34    247 0.196  8.00  -103.1    -0.2   8.3   2.5   97.2   9.94    11.2
08/23/12 01:01:13 14.16    243 0.193  7.98  -102.2     0.0   6.2   1.8   97.0   9.96    11.2
08/23/12 01:31:11 14.19    243 0.193  7.97  -101.4    -0.2  26.0   7.7   96.5   9.90    11.2
08/23/12 02:01:12 14.01    245 0.194  7.96  -101.0    -0.3   1.0   0.3   96.4   9.93    11.3
08/23/12 02:31:12 14.23    245 0.194  7.94   -99.7     3.7   0.1   0.0   95.0   9.74    11.2
08/23/12 03:01:12 16.35    243 0.203  7.91   -98.4     0.2   1.4   0.4   87.9   8.61    11.2
08/23/12 03:31:12 16.72    248 0.209  7.94  -100.3    -0.3   0.5   0.2   88.7   8.62    11.2
08/23/12 04:01:12 16.42    247 0.207  7.93   -99.7    -0.1   2.7   0.8   88.9   8.69    11.3
08/23/12 04:31:12 17.78    246 0.212  7.97  -102.2     0.3   2.5   0.7   88.2   8.39    11.2
08/23/12 05:01:12 18.67    250 0.219  8.03  -105.8    -0.5   2.6   0.8   90.0   8.40    11.2
08/23/12 05:31:12 18.66    248 0.218  8.02  -105.5     1.6   2.2   0.7   88.4   8.25    11.2
08/23/12 06:01:12 19.41    249 0.223  8.05  -107.5     0.1   6.1   1.8   89.6   8.24    11.2
08/23/12 06:31:12 19.20    249 0.222  8.03  -105.8    -0.2  20.0   5.9   87.7   8.10    11.2
08/23/12 07:01:12 18.71    248 0.218  8.03  -106.2    -0.1   1.8   0.5   89.7   8.36    11.2
08/23/12 07:31:11 18.35    247 0.216  8.02  -105.4     0.6  10.2   3.0   88.8   8.34    11.2
08/23/12 08:01:11 17.48    246 0.211  7.99  -103.3     0.0   1.7   0.5   88.7   8.48    11.2
08/23/12 08:31:12 17.14    248 0.211  7.99  -103.0     1.6   0.7   0.2   89.6   8.63    11.2
08/23/12 09:01:10 16.86    246 0.208  7.98  -102.4     0.0  25.4   7.5   89.6   8.68    11.2
08/23/12 09:31:12 16.62    245 0.206  7.97  -102.1     0.9   7.9   2.3   89.2   8.68    11.2
08/23/12 10:01:11 15.71    246 0.202  7.92   -98.7     0.2   7.3   2.2   88.6   8.79    11.2
08/23/12 10:31:11 15.12    246 0.200  7.90   -97.3     0.1  12.2   3.6   89.6   9.00    11.1
08/23/12 11:01:12 14.67    253 0.203  7.92   -98.4     4.1   3.6   1.1   92.0   9.34    11.2
08/23/12 11:31:13 14.52    250 0.200  7.95  -100.5     9.8   0.7   0.2   93.7   9.54    11.2
08/23/12 12:01:11 14.19    251 0.199  8.00  -103.2     1.6   5.8   1.7   96.6   9.91    11.1
08/23/12 12:31:12 14.08    249 0.197  8.07  -107.1     0.5   0.7   0.2   99.8  10.26    11.1
08/23/12 13:01:11 16.53    250 0.209  8.10  -109.5     1.3   4.2   1.3   93.9   9.15    11.2
08/23/12 13:31:12 16.63    251 0.211  8.08  -108.7     1.4   0.9   0.3   94.0   9.15    11.2
08/23/12 14:01:12 16.52    250 0.210  8.06  -107.5     2.0   0.5   0.2   93.7   9.14    11.1
08/23/12 14:31:11 16.34    251 0.209  8.04  -105.8     1.4   0.7   0.2   92.2   9.03    11.3
08/23/12 15:01:12 14.75    250 0.201  8.19  -114.8     0.9   4.9   1.5  106.2  10.76    11.2
08/23/12 15:31:12 14.13    250 0.198  8.24  -117.6     0.6   5.3   1.6  110.9  11.38    11.1
08/23/12 16:01:12 13.37    249 0.194  8.22  -116.1     0.3   4.7   1.4  110.1  11.50    11.2
08/23/12 16:31:13 12.89    249 0.192  8.18  -113.3     0.6   2.8   0.8  107.4  11.34    11.2
08/23/12 17:01:13 12.95    247 0.190  8.16  -112.5     7.3   2.5   0.8  107.2  11.30    11.3
08/23/12 17:31:12 12.27    247 0.187  8.11  -109.3     3.1   0.7   0.2  105.1  11.24    11.2
08/23/12 18:01:12 11.78    247 0.185  8.08  -107.2     2.2   0.9   0.3  103.4  11.19    11.2
08/23/12 18:31:12 11.72    247 0.184  8.07  -106.8     9.0  12.4   3.7  103.3  11.20    11.1
08/23/12 19:01:12 11.77    248 0.186  8.06  -106.4     2.3   1.7   0.5  103.1  11.16    11.1
08/23/12 19:31:13 11.32    247 0.183  8.04  -105.2     1.4  11.0   3.3  102.0  11.16    11.2
08/23/12 20:01:13 11.13    250 0.184  8.04  -104.8     1.1   2.5   0.7  101.9  11.20    11.2
08/23/12 20:31:13 10.91    245 0.179  8.04  -104.7     3.4   2.0   0.6  102.0  11.26    11.2
08/23/12 21:01:12 11.03    245 0.179  8.03  -104.3     2.8  -0.3  -0.1  101.5  11.18    11.1
08/23/12 21:31:12 11.70    245 0.183  7.99  -102.2     4.0   0.1   0.0   99.6  10.80    11.0
08/23/12 22:01:13 11.79    245 0.183  7.98  -101.7     1.7   0.4   0.1   99.5  10.77    11.2
08/23/12 22:31:12 12.32    245 0.185  7.97  -101.1     3.1   0.8   0.3   97.8  10.46    11.1
08/23/12 23:01:12 12.70    244 0.187  7.95  -100.0     3.0   6.4   1.9   96.6  10.24    11.2
08/23/12 23:31:12 12.29    245 0.185  7.99  -102.5     0.7  50.4  14.8   99.5  10.65    11.2
08/24/12 00:01:11 12.01    245 0.184  8.02  -103.8     2.3   0.5   0.1  100.4  10.82    11.1
08/24/12 00:31:12 11.21    245 0.181  7.99  -101.9     4.3   0.8   0.2  100.3  11.00    11.1
08/24/12 01:01:13 10.86    245 0.179  7.99  -101.9     0.0   0.7   0.2   99.9  11.04    11.2
08/24/12 01:31:13 10.56    245 0.178  7.99  -102.1     0.3   0.4   0.1   99.8  11.11    11.2
08/24/12 02:01:13 10.29    245 0.176  8.01  -103.0     0.6  44.7  13.1  100.2  11.22    11.1
08/24/12 02:31:13 10.16    245 0.175  8.01  -102.9    -0.3   0.5   0.1  100.1  11.25    11.2
08/24/12 03:01:13  9.94    245 0.174  8.03  -104.1     0.3   0.6   0.2  101.0  11.41    11.1
08/24/12 03:31:13  9.75    244 0.173  8.04  -104.6     3.7   0.9   0.3  101.3  11.50    11.2
08/24/12 04:01:13  9.66    244 0.173  8.05  -105.0     2.6   1.0   0.3  101.7  11.56    11.1
08/24/12 04:31:13  9.55    244 0.172  8.05  -105.1    -0.3   0.3   0.1  101.7  11.60    11.1
08/24/12 05:01:13  9.53    244 0.172  8.05  -105.2     0.1   0.7   0.2  101.7  11.60    11.1
